Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),OOS Valid,param_len_rsi,param_bb_len,param_bb_mult,param_rsi_upper,param_rsi_lower,param_long_tp,param_long_sl,param_pyramiding,param_initial_percent,param_percent_step
1000PEPEUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,4.494350092414368,2,100.0,True,16,32,1.5,65,30,0.08,0.2,2,7,5
1000PEPEUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,1.2332230842799996,1,100.0,True,10,22,1.5,70,20,0.1,0.2,4,4,3
1000PEPEUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.8740469796375994,1,100.0,True,10,24,1.5,60,25,0.1,0.3,8,4,2
1000PEPEUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,5.2731149334728,2,100.0,True,8,32,1.8,70,25,0.05,0.2,2,4,2
1000PEPEUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,-67.52285618639962,6,33.33333333333333,True,8,38,1.5,70,25,0.15,0.3,2,4,3
1000PEPEUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.0,0,0,True,20,10,3.0,70,25,0.15,0.25,9,9,1
1000PEPEUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.0,0,0,True,28,14,2.5,70,25,0.1,0.1,1,5,3
1000PEPEUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,1.0177955125555638,4,75.0,True,14,28,2.0,80,35,0.05,0.1,7,4,3
1000PEPEUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,True,20,14,1.8,70,25,0.2,0.15,2,7,5
1000PEPEUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.9374593303207899,1,100.0,True,26,12,1.8,70,30,0.1,0.3,5,9,1
1000PEPEUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,1.2782181909335888,1,100.0,True,8,10,1.5,65,25,0.08,0.2,3,8,5
1000PEPEUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,1.1897673273204123,3,100.0,True,8,14,1.8,70,25,0.2,0.2,11,4,5
1000PEPEUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.3434950163335948,1,100.0,True,26,18,1.5,65,30,0.05,0.1,4,6,5
