Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
LDOUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,21.76263939680012,19,84.21052631578947,51,5,2,3
LDOUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,54,9,1,2
LDOUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,6.322633814799983,3,66.66666666666666,51,5,1,2
LDOUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,49,8,1,3
LDOUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,17.24286117039997,8,100.0,46,5,1,2
LDOUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-3.902233715600012,11,54.54545454545454,49,5,1,2
LDOUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,11.810388701199969,7,57.14285714285714,51,5,1,2
LDOUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-1.731727166000041,8,62.5,46,5,1,2
LDOUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.4419695764000142,4,75.0,45,6,2,4
LDOUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-1.9126055235999972,5,60.0,46,5,2,2
LDOUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.1057604560001053,9,66.66666666666666,42,5,2,2
LDOUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,2.9496192292000067,7,71.42857142857143,45,5,2,6
LDOUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-4.176793090399988,8,62.5,41,5,1,5
LDOUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,2.868052056800008,6,83.33333333333334,42,5,1,7
LDOUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-3.4127214747999957,5,80.0,54,5,2,5
LDOUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-2.638698378799942,7,28.57142857142857,46,5,2,5
LDOUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-2.584319554000025,2,50.0,54,7,2,4
LDOUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,1.417371481999985,3,66.66666666666666,53,7,2,6
LDOUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.1290493544000357,3,100.0,48,5,1,8
LDOUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-9.042707010800022,3,66.66666666666666,48,5,1,7
LDOUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,-7.1124821587999705,2,0.0,49,5,1,1
LDOUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.9407055000000053,2,100.0,48,7,1,7
LDOUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-12.237261103600016,10,70.0,48,5,2,2
LDOUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-18.44764398960006,5,20.0,52,5,1,1
LDOUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-13.132288569199968,10,60.0,50,5,2,2
LDOUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-0.5579877548000378,4,75.0,53,9,2,9
LDOUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.0,0,0,54,9,1,1
LDOUSDT,30min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-2.581625792400022,12,91.66666666666666,50,5,2,9
LDOUSDT,30min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-4.60212771080003,5,60.0,47,9,1,3
LDOUSDT,30min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,10.899547480400006,3,100.0,45,9,1,2
