Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
BNBUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,3.2976637600000025,3,66.66666666666666,15,22,5,1,True,60,2
BNBUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-1.9961817600000042,4,50.0,17,38,8,1,True,56,2
BNBUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-0.21017404000002182,11,72.72727272727273,37,20,3,4,True,34,2
BNBUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,3.6001804400000115,15,93.33333333333333,27,20,1,3,False,36,2
BNBUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,4.1809920799999345,13,76.92307692307693,21,42,2,1,False,30,2
BNBUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-3.9929312400000194,2,50.0,15,20,2,1,True,68,3
BNBUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.20187328000000893,3,33.33333333333333,25,30,4,3,True,62,2
BNBUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,3.7999159600000443,4,75.0,15,44,2,6,True,58,2
BNBUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,3.822062560000017,1,0.0,21,44,1,7,True,62,2
BNBUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-2.946802919999969,13,76.92307692307693,15,40,2,1,False,80,3
BNBUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.101481400000038,3,66.66666666666666,17,44,3,3,True,58,3
BNBUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-5.41944312,4,50.0,35,40,3,3,True,50,2
BNBUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-1.7689004799999908,3,0.0,23,40,11,4,True,26,2
BNBUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-0.25641112000003297,4,50.0,23,40,11,1,False,64,2
BNBUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.9401398400000094,2,100.0,21,42,11,1,True,34,2
BNBUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-7.792529040000007,2,0.0,25,48,10,1,True,50,8
BNBUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.0613172000000004,8,87.5,17,44,6,4,False,70,5
BNBUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-0.19653647999999801,1,0.0,37,50,11,9,True,70,9
BNBUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.7494085599999867,1,100.0,21,54,11,2,True,54,9
BNBUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-2.0222014400000266,5,40.0,31,54,2,4,True,38,2
BNBUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.37380200000005637,7,57.14285714285714,19,24,10,4,False,74,6
BNBUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-3.201928279999988,7,57.14285714285714,27,46,2,1,True,34,4
BNBUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,4.862246199999998,9,66.66666666666666,38,24,4,4,False,24,1
BNBUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,12.654657440000028,7,71.42857142857143,12,34,5,3,True,58,1
