Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_entry_on
AAVEUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,6.121606920000011,2,50.0,False,17,1,5,3,13,21,32,27,100,9,39,4,False
AAVEUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-6.0934544000000095,1,0.0,False,19,3,5,3,11,19,34,41,50,8,32,5,True
AAVEUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.8906898000000218,1,100.0,False,18,2,4,4,9,21,34,37,110,18,35,5,False
AAVEUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,3.3317725200000092,1,100.0,False,16,1,3,3,7,23,26,43,140,7,33,3,True
AAVEUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,4.0685827200000135,2,50.0,False,18,2,3,5,8,23,33,33,80,8,35,2,True
AAVEUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-1.083601600000006,1,0.0,False,16,2,3,3,5,15,24,43,50,7,38,3,False
AAVEUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,3.0419651199999453,6,100.0,False,19,3,3,6,6,24,15,29,60,10,35,1,True
AAVEUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-4.423152760000015,1,0.0,False,19,2,2,7,14,16,27,41,100,7,39,1,False
AAVEUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.6518167200000322,4,75.0,False,10,1,6,3,5,23,32,31,60,10,35,1,False
AAVEUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,False,11,4,3,3,9,15,23,33,180,19,34,1,True
AAVEUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,False,18,3,3,8,8,22,30,49,130,18,33,2,True
AAVEUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,1.660885199999984,1,0.0,False,13,4,7,3,14,14,30,31,130,9,34,3,True
AAVEUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,False,18,3,6,3,10,11,15,25,190,10,39,1,True
AAVEUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,3.164821640000004,1,100.0,False,19,2,3,9,11,22,17,37,130,16,38,2,False
AAVEUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,4.961545800000011,7,85.71428571428571,False,17,3,3,8,7,14,21,47,80,7,33,1,False
AAVEUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,1.6159314000000036,5,80.0,False,19,1,6,5,6,24,26,43,90,12,39,1,True
AAVEUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.2873807999999922,1,100.0,False,19,4,3,6,11,14,27,27,60,12,34,1,True
AAVEUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,3.4796595599999813,2,100.0,False,19,4,2,4,11,20,34,35,180,17,37,2,True
AAVEUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,2.5249458400000035,1,100.0,False,17,3,4,8,6,17,27,43,60,8,27,4,True
AAVEUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-2.320199200000006,1,0.0,False,17,4,2,4,11,16,18,33,90,7,31,5,False
AAVEUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,False,17,2,2,3,5,23,19,41,80,13,33,3,True
AAVEUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-2.4994436400000097,2,50.0,False,16,4,3,8,7,21,28,49,130,11,34,4,False
AAVEUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,3.761574799999945,2,100.0,False,17,1,4,4,13,17,26,31,70,10,30,2,False
AAVEUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,1.4039326400000274,2,100.0,False,19,4,5,3,7,14,19,35,100,12,38,3,True
AAVEUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,0.30922367999999256,1,100.0,False,17,1,7,7,7,14,30,49,130,8,26,2,True
AAVEUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,0.8289710000000117,2,50.0,False,19,3,5,4,6,20,21,39,180,13,38,4,True
AAVEUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,1.1677795199999563,1,0.0,False,19,2,7,9,13,19,29,27,190,12,34,5,True
AAVEUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,7.568862519999997,4,75.0,False,19,4,3,4,12,20,21,43,70,10,37,4,True
AAVEUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-9.263735520000004,1,0.0,False,14,4,2,3,5,22,21,39,110,9,34,4,True
AAVEUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,3.95899232000001,3,66.66666666666666,False,17,4,3,5,10,13,30,33,130,9,37,4,False
AAVEUSDT,1H,31,2024-12-02,2025-02-24,2025-02-24,2025-03-10,2.026275480000006,2,50.0,False,18,1,2,7,12,19,19,31,180,18,38,3,False
AAVEUSDT,1H,32,2024-12-16,2025-03-10,2025-03-10,2025-03-24,0.0,0,0,False,19,2,2,6,8,22,20,49,190,20,30,4,False
