Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
ATOMUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,1.1853302271882749,2,50.0,19,1,2,4,7,19,24,45,60,8,30,5,6,17,True
ATOMUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-2.676255894720325,1,0.0,15,1,4,6,5,16,27,37,50,9,28,5,2,14,True
ATOMUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.1087896950346732,1,100.0,18,2,2,4,6,18,29,37,130,17,34,5,6,17,False
ATOMUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,5.509863162460538,2,100.0,18,2,4,4,5,24,33,45,90,10,27,5,4,8,True
ATOMUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,5.070958086619437,5,80.0,19,2,3,4,12,20,28,45,120,17,34,4,3,11,False
ATOMUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-2.9691071827015136,1,0.0,19,3,4,5,12,14,23,35,80,17,34,4,6,18,True
ATOMUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-4.577901988408772,3,66.66666666666666,17,2,3,5,6,13,23,35,90,8,31,4,4,13,True
ATOMUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,1.6819156522969614,3,66.66666666666666,16,1,2,5,13,12,21,29,190,14,36,5,2,14,True
ATOMUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,4.652077315721748,1,100.0,19,2,3,3,9,18,25,45,50,11,38,4,7,17,True
ATOMUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-0.5566187419667634,3,66.66666666666666,19,2,3,3,12,10,17,49,50,7,28,2,2,5,True
ATOMUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,7,3,3,8,8,15,16,43,150,18,20,5,5,17,False
ATOMUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-0.3322219171614238,1,0.0,5,3,4,3,10,24,20,39,120,12,29,1,5,15,True
ATOMUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,5,3,6,5,6,20,21,37,130,18,20,1,4,13,False
ATOMUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.7396820934179704,4,100.0,16,4,6,6,14,20,29,25,170,16,36,1,2,8,True
ATOMUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.3045879547074923,3,66.66666666666666,18,4,2,4,7,14,22,49,150,9,25,1,3,16,True
ATOMUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-2.774924733487938,1,0.0,7,4,5,8,7,22,16,39,130,14,28,5,7,8,False
ATOMUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,19,1,6,3,6,23,22,37,180,18,21,1,2,16,False
ATOMUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-2.425249752226011,1,0.0,19,1,3,4,5,12,18,41,160,19,23,1,4,19,True
ATOMUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.5310037710090976,1,100.0,10,1,6,6,9,19,23,37,50,15,22,5,2,17,False
ATOMUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.2815278452541703,1,100.0,14,4,2,3,10,10,15,39,190,14,24,4,2,9,False
ATOMUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,19,1,7,5,14,24,30,41,90,20,26,4,3,9,True
ATOMUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-3.9837271555817955,2,50.0,14,4,7,4,7,18,21,25,150,11,25,4,2,12,True
ATOMUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.7288470854101448,2,50.0,15,1,4,4,13,11,32,35,110,13,30,2,6,7,False
ATOMUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,3.755501466657929,6,100.0,17,1,3,5,5,24,18,35,60,10,31,1,2,11,True
